sourceaddress,destinationaddress,destinationport,geocity,countrycode
"98.148.149.83","162.92.181.77","80","Temecula","US"
"23.41.15.145","10.194.8.112","443","UNKNOWN","US"
"172.19.5.152","17.253.5.207","80","unknown","unknown"
"162.92.191.86","35.242.178.161","443","UNKNOWN","US"
"172.20.16.103","185.46.212.88","9400","unknown","unknown"
"172.20.12.46","84.16.73.33","123","unknown","unknown"
"222.186.19.235","162.92.181.13","81","UNKNOWN","CN"
"174.135.186.206","162.92.181.77","80","St. Petersburg","US"
"72.224.92.187","162.92.181.77","80","Westbrook","US"
"185.94.111.1","162.92.128.223","179","UNKNOWN","RU"
"172.19.4.178","17.248.188.140","443","unknown","unknown"
"162.92.191.81","3.225.118.102","443","UNKNOWN","US"
"162.92.191.81","142.251.32.42","443","UNKNOWN","US"
"107.77.201.94","162.92.181.77","443","UNKNOWN","US"
"92.63.197.83","162.92.128.113","3393","UNKNOWN","RU"
"92.118.161.5","162.92.177.14","9418","UNKNOWN","LT"
"162.92.191.84","20.50.80.210","443","UNKNOWN","US"
"100.2.92.190","162.92.181.77","443","Scarsdale","US"
"162.92.191.84","50.112.139.113","443","UNKNOWN","US"
"165.225.60.202","162.92.181.77","80","UNKNOWN","US"
"185.173.35.5","162.92.128.176","3978","UNKNOWN","DE"
"172.19.5.146","17.248.188.136","443","unknown","unknown"
"92.63.197.83","162.92.128.89","3390","UNKNOWN","RU"
"208.127.145.70","162.92.181.77","443","UNKNOWN","US"
"92.63.197.83","162.92.191.38","3411","UNKNOWN","RU"
"185.94.111.1","162.92.128.187","179","UNKNOWN","RU"
"172.19.5.47","142.250.191.78","443","unknown","unknown"
"84.187.152.80","162.92.180.69","22","Herborn","DE"
"175.162.116.176","10.97.100.127","443","Dalian","CN"
"89.248.165.52","162.92.128.73","7302","UNKNOWN","NL"
"148.139.0.15","162.92.177.7","443","UNKNOWN","US"
"172.19.4.105","104.74.84.212","443","unknown","unknown"
"68.80.52.46","10.244.9.59","80","King of Prussia","US"
"192.24.152.19","162.92.181.77","443","Latonia","US"
"172.19.5.55","52.182.141.63","443","unknown","unknown"
"92.63.197.83","162.92.128.210","3392","UNKNOWN","RU"
"144.243.152.2","162.92.69.51","9093","UNKNOWN","US"
"89.248.169.12","162.92.128.87","5900","UNKNOWN","NL"
"67.247.101.246","162.92.181.77","443","New York","US"
"162.92.191.87","8.253.139.248","80","UNKNOWN","US"
"176.223.104.74","162.92.181.77","443","Dallas","US"
"172.19.5.47","20.50.80.210","443","unknown","unknown"
"68.183.202.53","162.92.128.51","138","Toronto","CA"
"92.118.160.13","162.92.128.69","8005","UNKNOWN","LT"
"162.92.191.71","213.109.127.82","123","UNKNOWN","US"
