"long","lat","country"
1.5333,42.5,AD
54,24,AE
55.3087,25.2633,AE
54,24,AE
55.405,25.3569,AE
54.363,24.4638,AE
54,24,AE
55.7606,24.1917,AE
62.1997,34.3482,AF
-61.8,17.05,AG
20,41,AL
20,41,AL
19.8184,41.3253,AL
44.5099,40.1817,AM
44.5099,40.1817,AM
45,40,AM
18.5,-12.5,AO
13.2353,-8.8385,AO
-58.3845,-34.6021,AR
-58.3845,-34.6021,AR
-58.3817,-34.6033,AR
-58.483,-34.5243,AR
-63.0333,-32.5833,AR
-58.5333,-34.6,AR
-58.8333,-27.4667,AR
-64.264,-27.7841,AR
-60.6636,-32.9541,AR
-58.3817,-34.6033,AR
-58.3817,-34.6033,AR
-58.75,-32.4,AR
-61.1,-36.25,AR
-64.2167,-31.3667,AR
-58.9319,-34.4836,AR
-58.8458,-34.7817,AR
-65.2995,-24.1858,AR
-58.3225,-34.6813,AR
-58.3845,-34.6021,AR
-58.6243,-34.5708,AR
-58.5583,-34.5417,AR
-58.55,-34.5333,AR
-65.2154,-26.816,AR
-58.9208,-34.1769,AR
-58.8,-34.45,AR
-58.5333,-34.65,AR
-58.5172,-34.8381,AR
-58.6243,-34.5708,AR
-58.3129,-34.6947,AR
-65.2154,-26.816,AR
-58.4078,-34.7153,AR
-58.0972,-34.9761,AR
-58.4329,-32.3462,AR
-67.7,-53.7833,AR
-59.15,-37.3167,AR
-59.9082,-33.7451,AR
-60.6636,-32.9541,AR
-58.3822,-34.6506,AR
-58.8333,-27.4667,AR
-58.3817,-34.6033,AR
-58.3817,-34.6033,AR
-58.25,-37.8333,AR
-58.8333,-27.4667,AR
-58.2283,-32.4833,AR
-58.3225,-34.6813,AR
-59.65,-30.75,AR
-63.5333,-31.5833,AR
-60.1742,-35.4281,AR
-58.4,-34.8167,AR
-60.5167,-33.15,AR
-64.9333,-40.7333,AR
-58.3129,-34.6947,AR
-68.8288,-33.1561,AR
16.3667,48.2,AT
15.6167,47.2167,AT
16.3479,48.2994,AT
12.6364,47.3914,AT
16.1097,47.9457,AT
16.3191,48.1968,AT
16.0867,48.5456,AT
16.3667,48.2,AT
15.8167,48.5667,AT
15.2167,47.1,AT
12.0963,47.5174,AT
143.2104,-33.494,AU
151.0615,-33.7525,AU
151.1999,-33.806,AU
151.2002,-33.8591,AU
144.9972,-37.9086,AU
151.6938,-32.9657,AU
144.9644,-37.81,AU
151.181,-33.943,AU
150.8631,-33.9188,AU
143.2104,-33.494,AU
143.2104,-33.494,AU
151.1795,-33.8582,AU
153.0602,-27.4982,AU
151.6435,-32.7777,AU
153.0118,-27.2677,AU
144.9641,-37.7452,AU
143.2104,-33.494,AU
115.8621,-31.9674,AU
115.899,-31.8754,AU
151.0735,-33.9203,AU
115.8232,-31.8754,AU
138.6292,-34.9123,AU
145.0946,-37.8561,AU
145.0371,-37.8049,AU
153.4321,-28.0285,AU
138.6004,-35.0701,AU
149.1353,-35.2747,AU
145.0091,-37.784,AU
144.8865,-37.7523,AU
144.7641,-37.7922,AU
130.8418,-12.4611,AU
153.0378,-27.4727,AU
150.9965,-32.6967,AU
143.2104,-33.494,AU
116.0049,-31.9846,AU
144.9381,-37.8388,AU
144.9431,-37.763,AU
145.1847,-37.9095,AU
143.2104,-33.494,AU
145.0225,-37.8714,AU
151.2002,-33.8591,AU
47.5,40.5,AZ
49.8759,40.3909,AZ
49.8759,40.3909,AZ
47.5,40.5,AZ
18.3856,43.847,BA
18,44,BA
18,44,BA
17.8081,43.3433,BA
18.3856,43.847,BA
17.8081,43.3433,BA
-59.616,13.0961,BB
90.4048,23.7931,BD
90.4251,23.726,BD
90.4048,23.7931,BD
90.375,23.7,BD
90.375,23.7,BD
90.4276,23.7415,BD
